Year,County_FIPS,County,State,Diagnosed Diabetes Percentage,Overall SVI,county
2018,1001,Autauga County,Alabama,9.5,0.4354,01001
2018,1003,Baldwin County,Alabama,8.4,0.2162,01003
2018,1005,Barbour County,Alabama,13.5,0.9959,01005
2018,1007,Bibb County,Alabama,10.2,0.6003,01007
2018,1009,Blount County,Alabama,10.5,0.4242,01009
2018,1011,Bullock County,Alabama,9.4,0.8898,01011
2018,1013,Butler County,Alabama,10.9,0.8653,01013
2018,1015,Calhoun County,Alabama,12.9,0.8252,01015
2018,1017,Chambers County,Alabama,12,0.7382,01017
2018,1019,Cherokee County,Alabama,10.5,0.4516,01019
2018,1021,Chilton County,Alabama,14.4,0.7602,01021
2018,1023,Choctaw County,Alabama,11,0.8748,01023
2018,1025,Clarke County,Alabama,14.3,0.8471,01025
2018,1027,Clay County,Alabama,8.6,0.564,01027
2018,1029,Cleburne County,Alabama,8.3,0.5417,01029
2018,1031,Coffee County,Alabama,13.8,0.5408,01031
2018,1033,Colbert County,Alabama,12.3,0.4274,01033
2018,1035,Conecuh County,Alabama,11.2,0.8086,01035
2018,1037,Coosa County,Alabama,9.5,0.5261,01037
2018,1039,Covington County,Alabama,11.9,0.7723,01039
2018,1041,Crenshaw County,Alabama,10.7,0.6873,01041
2018,1043,Cullman County,Alabama,11,0.5182,01043
2018,1045,Dale County,Alabama,11.7,0.7599,01045
2018,1047,Dallas County,Alabama,13.9,0.949,01047
2018,1049,Dekalb County,Alabama,11.1,0.8022,01049
2018,1051,Elmore County,Alabama,12.1,0.5401,01051
2018,1053,Escambia County,Alabama,13.5,0.8557,01053
2018,1055,Etowah County,Alabama,13.8,0.6564,01055
2018,1057,Fayette County,Alabama,9.4,0.7038,01057
2018,1059,Franklin County,Alabama,9.5,0.8417,01059
2018,1061,Geneva County,Alabama,11.2,0.7955,01061
2018,1063,Greene County,Alabama,12.1,0.9854,01063
2018,1065,Hale County,Alabama,10.4,0.9599,01065
2018,1067,Henry County,Alabama,9.8,0.5519,01067
2018,1069,Houston County,Alabama,14.2,0.6838,01069
2018,1071,Jackson County,Alabama,10.5,0.5726,01071
2018,1073,Jefferson County,Alabama,11.2,0.6621,01073
2018,1075,Lamar County,Alabama,11.8,0.6264,01075
2018,1077,Lauderdale County,Alabama,9.9,0.4468,01077
2018,1079,Lawrence County,Alabama,9.1,0.4952,01079
2018,1081,Lee County,Alabama,9.9,0.6602,01081
2018,1083,Limestone County,Alabama,11.3,0.5296,01083
2018,1085,Lowndes County,Alabama,11.8,0.9188,01085
2018,1087,Macon County,Alabama,11.2,0.8971,01087
2018,1089,Madison County,Alabama,10.7,0.3076,01089
2018,1091,Marengo County,Alabama,12.8,0.7621,01091
2018,1093,Marion County,Alabama,9.7,0.671,01093
2018,1095,Marshall County,Alabama,9.8,0.7261,01095
2018,1097,Mobile County,Alabama,11.9,0.7532,01097
2018,1099,Monroe County,Alabama,11.6,0.7481,01099
2018,1101,Montgomery County,Alabama,14.2,0.8427,01101
2018,1103,Morgan County,Alabama,9.4,0.6895,01103
2018,1105,Perry County,Alabama,13.4,0.9949,01105
2018,1107,Pickens County,Alabama,10.9,0.9207,01107
2018,1109,Pike County,Alabama,10.3,0.9016,01109
2018,1111,Randolph County,Alabama,11,0.7191,01111
2018,1113,Russell County,Alabama,10,0.9115,01113
2018,1117,Shelby County,Alabama,8.8,0.1169,01117
2018,1115,St. Clair County,Alabama,10.6,0.3656,01115
2018,1119,Sumter County,Alabama,11.7,0.9557,01119
2018,1121,Talladega County,Alabama,14.2,0.8736,01121
2018,1123,Tallapoosa County,Alabama,10.6,0.8863,01123
2018,1125,Tuscaloosa County,Alabama,11.8,0.6255,01125
2018,1127,Walker County,Alabama,11.2,0.7452,01127
2018,1129,Washington County,Alabama,11.2,0.7303,01129
2018,1131,Wilcox County,Alabama,11.2,0.928,01131
2018,1133,Winston County,Alabama,10.2,0.7025,01133
2018,2013,Aleutians East Borough,Alaska,9.3,0.5803,02013
2018,2016,Aleutians West Census Area,Alaska,7.9,0.4927,02016
2018,2020,Anchorage Municipality,Alaska,8.8,0.4602,02020
2018,2050,Bethel Census Area,Alaska,8,0.9748,02050
2018,2060,Bristol Bay Borough,Alaska,9.1,0.3525,02060
2018,2068,Denali Borough,Alaska,6.8,0.101,02068
2018,2070,Dillingham Census Area,Alaska,8.2,0.8682,02070
2018,2090,Fairbanks North Star Borough,Alaska,7.9,0.3446,02090
2018,2100,Haines Borough,Alaska,7.3,0.207,02100
2018,2105,Hoonah-Angoon Census Area,Alaska,7.3,0.4178,02105
2018,2110,Juneau City and Borough,Alaska,6.3,0.2987,02110
2018,2122,Kenai Peninsula Borough,Alaska,8.2,0.4073,02122
2018,2130,Ketchikan Gateway Borough,Alaska,8.8,0.5548,02130
2018,2150,Kodiak Island Borough,Alaska,7,0.7006,02150
2018,2158,Kusilvak Census Area,Alaska,7.4,0.9334,02158
2018,2164,Lake and Peninsula Borough,Alaska,8.5,0.7978,02164
2018,2170,Matanuska-Susitna Borough,Alaska,8.2,0.3172,02170
2018,2180,Nome Census Area,Alaska,7.8,0.9299,02180
2018,2185,North Slope Borough,Alaska,7.5,0.7344,02185
2018,2188,Northwest Arctic Borough,Alaska,11.6,0.9354,02188
2018,2195,Petersburg Census Area,Alaska,9.2,0.665,02195
2018,2198,Prince of Wales-Hyder Censu,Alaska,9.3,0.7662,02198
2018,2220,Sitka City and Borough,Alaska,7.3,0.4022,02220
2018,2230,Skagway Municipality,Alaska,6.6,0.1685,02230
2018,2240,Southeast Fairbanks Census Area,Alaska,8.7,0.5838,02240
2018,2261,Valdez-Cordova Census Area,Alaska,6.2,0.2704,02261
2018,2275,Wrangell City and Borough,Alaska,8.4,0.5618,02275
2018,2282,Yakutat City and Borough,Alaska,9,0.5873,02282
2018,2290,Yukon-Koyukuk Census Area,Alaska,9.9,0.8812,02290
2018,4001,Apache County,Arizona,12.3,0.9885,04001
2018,4003,Cochise County,Arizona,7.8,0.9064,04003
2018,4005,Coconino County,Arizona,6.9,0.7131,04005
2018,4007,Gila County,Arizona,9,0.899,04007
2018,4009,Graham County,Arizona,11,0.964,04009
2018,4011,Greenlee County,Arizona,8.8,0.6188,04011
2018,4012,La Paz County,Arizona,9.9,0.9236,04012
2018,4013,Maricopa County,Arizona,8,0.6354,04013
2018,4015,Mohave County,Arizona,9.4,0.8624,04015
2018,4017,Navajo County,Arizona,11.5,0.9955,04017
2018,4019,Pima County,Arizona,7.6,0.8828,04019
2018,4021,Pinal County,Arizona,11.7,0.8592,04021
2018,4023,Santa Cruz County,Arizona,9.4,0.9318,04023
2018,4025,Yavapai County,Arizona,7.2,0.521,04025
