"","disable","computer","poverty","a85a","a7584","a6574","black","asian","aindian","latino","chci","sparent","a5564","a2034","Diabetes_Incidence","Poor_health","Adult_obesity","Food_environment_index","Physical_inactivity","Uninsured","Adult_smoking","Low_birthweight","per_Female","Excessive_drinking","Primary_care_physicians","Access_to_exercise_opportunities","State"
"1",17.7,77.3,12.8,2.2,6.4,10.2,4.7,0.5,0.3,1.9,127.9,5.6,14.2,18.9,8.1,0.167609589,0.267,7.1,0.24,0.0771050716,0.1838131023,0.084449621,0.46716233,0.206104337,0.000136098,0.529223126,"Illinois"
"2",15.2,86.7,5.6,3.8,4.7,9.5,6.9,0.8,0.3,3.4,136.99,3.6,13.8,20.4,7,0.1484731892,0.281,7.4,0.229,0.0477933997,0.16190541,0.080979284,0.492396789,0.210438422,0.000339052,0.759313645,"Illinois"
"3",22.3,82.4,17.9,3,5.9,11,2.6,0.7,0.2,1.8,136.5,8.2,14.3,17.7,6.9,0.1847423789,0.291,6.1,0.239,0.0610845626,0.1859095697,0.09329187,0.506891019,0.185756674,0.000733257,0.77622125,"Illinois"
"4",9.1,94.2,5.8,1.8,3.8,8.2,6.8,7.7,0.3,21.7,157.88,6,13.5,18.3,7.5,0.1542862707,0.279,8.9,0.198,0.0809189162,0.138421482,0.075096612,0.500243938,0.183696876,0.001092469,0.989186338,"Illinois"
"5",13.3,88.4,7.6,2,5.4,9.4,1,0.7,0.4,2.5,137.92,5,14.8,18.8,11.3,0.156891185,0.319,7.8,0.284,0.1079204584,0.2177945288,0.081108483,0.507554945,0.177220831,0.000600601,0.807159789,"Indiana"
"6",16.6,89.5,6,2.7,5.5,11.3,0.5,0.2,0.3,8.4,133.65,3.9,14.9,16.5,10.5,0.1581839816,0.357,8.6,0.291,0.123037323,0.1751362566,0.075195313,0.503479312,0.166962093,0.000411641,0.687538043,"Indiana"
"7",16.9,82.2,8.1,2,5.5,9.9,0.4,0.8,0.1,3.1,129.12,5.2,13.3,17.3,10.1,0.1861996616,0.336,7.5,0.313,0.1130449767,0.2112354869,0.084314649,0.504703982,0.16141022,0.000284078,0.381122665,"Indiana"
"8",14.1,87.3,7.4,2.4,4.7,9.6,1.2,0.6,0.1,4.2,134.51,5.8,14.8,17.8,11.6,0.1721310105,0.354,8.2,0.34,0.1064112291,0.1941372992,0.061167228,0.504399422,0.167975655,0.000179864,0.541002791,"Indiana"
"9",19,83.5,9.7,2.1,5,10.1,4,0.5,0.1,1.7,130.6,8.1,13.5,19.8,9.3,0.1821256672,0.331,7.8,0.332,0.1130304413,0.2133682461,0.079145729,0.456783002,0.169005513,0.000525612,0.498672875,"Indiana"
"10",10.3,94.2,7.9,1.4,3.2,6.5,5.3,8.1,0.3,8.3,154.71,5.7,9.6,31.6,9.7,0.1661586949,0.29,7.2,0.236,0.1259837373,0.1730883654,0.069222577,0.488766823,0.17613398,0.000710342,0.783539762,"Indiana"
