"","disable","computer","poverty","a85a","a7584","a6574","black","asian","aindian","latino","chci","sparent","a5564","a2034","mortalityrate","Poor_health","Adult_obesity","Food_environment_index","Physical_inactivity","Uninsured","Adult_smoking","Low_birthweight","per_Female","Excessive_drinking","Primary_care_physicians","Access_to_exercise_opportunities","State"
"1",9.1,94.2,5.8,1.8,3.8,8.2,6.8,7.7,0.3,21.7,157.88,6,13.5,18.3,0.0182640062097621,0.1542862707,0.279,8.9,0.198,0.0809189162,0.138421482,0.075096612,0.500243938,0.183696876,0.001092469,0.989186338,"Illinois"
"2",13.3,88.4,7.6,2,5.4,9.4,1,0.7,0.4,2.5,137.92,5,14.8,18.8,0.033112582781457,0.156891185,0.319,7.8,0.284,0.1079204584,0.2177945288,0.081108483,0.507554945,0.177220831,0.000600601,0.807159789,"Indiana"
"3",16.9,82.2,8.1,2,5.5,9.9,0.4,0.8,0.1,3.1,129.12,5.2,13.3,17.3,0.0577923328838374,0.1861996616,0.336,7.5,0.313,0.1130449767,0.2112354869,0.084314649,0.504703982,0.16141022,0.000284078,0.381122665,"Indiana"
"4",14.1,87.3,7.4,2.4,4.7,9.6,1.2,0.6,0.1,4.2,134.51,5.8,14.8,17.8,0.0403650797210324,0.1721310105,0.354,8.2,0.34,0.1064112291,0.1941372992,0.061167228,0.504399422,0.167975655,0.000179864,0.541002791,"Indiana"
"5",10.3,94.2,7.9,1.4,3.2,6.5,5.3,8.1,0.3,8.3,154.71,5.7,9.6,31.6,0.0202022294973271,0.1661586949,0.29,7.2,0.236,0.1259837373,0.1730883654,0.069222577,0.488766823,0.17613398,0.000710342,0.783539762,"Indiana"
"6",7.9,97.1,3.2,1.4,3.2,7.3,4,6,0.2,4,172.07,5.8,11.5,17.2,0.0169652757160255,0.1032686156,0.269,8.8,0.164,0.0640358244,0.1284951635,0.069139588,0.511646063,0.203751736,0.001414286,0.889718067,"Indiana"
"7",15.9,87.6,9.3,2.1,6.1,10.7,0.9,0.4,0.3,5.2,132.74,4.5,14.3,16.5,0.0796336850487756,0.1723474828,0.37,8,0.249,0.1380753138,0.1955866302,0.084180791,0.502507572,0.165175419,0.000590697,0.467076214,"Indiana"
"8",13.4,88,5.3,1.8,4.1,9.4,0.5,0.7,0.1,10.3,127.81,4.8,13.9,17.9,0.0315576874526635,0.1604252123,0.339,8.7,0.267,0.1191877869,0.2076860239,0.071258907,0.499160334,0.178119008,0.000293298,0.66812521,"Indiana"
"9",13.4,89.2,7,1.5,4.4,9.6,6.7,1.1,0.2,5.4,138.66,6.3,13.5,19.6,0.0195978186775733,0.1493067927,0.344,7.9,0.293,0.1066704944,0.2100642078,0.083560577,0.511501237,0.191350888,0.000433385,0.865501851,"Indiana"
"10",10.3,95.3,3.6,1.6,3.7,8.1,7,2.9,0.2,3.9,152.42,6,12.4,18.4,0.0263458855510781,0.1251099222,0.318,8.6,0.233,0.076090903,0.1630118833,0.065340211,0.500678663,0.182040757,0.000556286,0.672797151,"Indiana"
